Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
Mac n Cheese vs Ramen,Simmons Hall,,Old Late Night Dining,8/27/2023 16:00:00,8/27/2023 18:00:00,"There can only be one college meal to rise above the others, and we need you to decide. Vegetarian options available.","Food, Social"
Simmons Tour,Simmons Hall,,Meet in Lobby,8/27/2023 16:30:00,8/27/2023 17:30:00,Come on a guided tour of the sponge!,Tour
SIMFEST,Simmons Hall,,Simmons Hall,8/27/2023 20:00:00,8/27/2023 23:00:00,"Explore what it means to be a Sim at SIMFEST! Come build a pillow fort, tape our president to the wall, or decorate our curvy walls with a chalk mural! Play gatas, jackbox, or nerts! Experience this crash course of Simmons culture with these mini events and more!","Signature, Social, Games, Art"
queer as duck!,Simmons Hall,,party room,8/27/2023 23:00:00,8/28/2023 1:00:00,chat with sims about being queer in Simmons and at MIT!,Social
late night nugs,Simmons Hall,,Simmons Old Late Night Dining,8/27/2023 23:00:00,8/27/2023 1:00:00,"a meal of delicious, exquisite chicken nuggets will be provided for our amazing freshmen. come join and get to eat with your new simmons pals. which dipping sauce is superior? let's find out at late night nugs :)","Food, Social"
&Pancakes,Simmons Hall,,Old Late Night Dining,8/27/2023 8:00:00,8/27/2023 10:00:00,"craving some m&m's, chocolate chips, blueberries... you name it... & pancakes?!?! join us for our first day of simmons pancake breakfast, featuring toppings cooked intllo the pancakes! gluten-free pancakes will be available.","Food, Social"
Squash for Frosh,Simmons Hall,,Simmons Hall - MPR,8/28/2023 14:00:00,8/28/2023 15:30:00,Do you like squash (the game)? Do you like squash (the food)? Are you a frosh (yes)? We have squash just for you! ,"Social, Games"
build-a-duck,Simmons Hall,,Simmons Front Steps,8/28/2023 14:00:00,8/28/2023 17:30:00,Masterful craftspeople (and upperclassmen) work together at the most porous dorm to construct a mighty war engine.,"Social, Art"
PowerPoint Karaoke ,Simmons Hall,,Simmons TV lounge,8/28/2023 16:00:00,8/28/2023 17:30:00,wanna feel like the group member that didn't look at the slides before presenting? come improv a powerpoint!,"Social, Games"
Simmons Tour,Simmons Hall,,Meet in Lobby,8/28/2023 16:00:00,8/28/2023 17:00:00,Come on a guided tour of the sponge!,Tour
let's lego!,Simmons Hall,,Simmons Mailbox Lounge,8/28/2023 18:30:00,8/28/2023 20:00:00,"step 1: we acquire legos, step 2: we build legos, step 3: yippee we have lego structure!","Social, Games"
Spaghetti Dinner,Simmons Hall,,Simmons Old Late Night,8/28/2023 18:30:00,8/28/2023 20:30:00,"Hungry? I hope so. We've prepared a classic spaghetti dinner just for you, where you can make your own pasta dinner and choose sauces, meats, and veggies. Gluten free and vegan options available.","Food, Social"
dumb ways to (hair) dye,Simmons Hall,,Simmons Front Lawn,8/28/2023 19:00:00,8/28/2023 21:00:00,Looking to christen your newfound freedom with a rebellious act? We will dye your hair color(s) of your choosing (we promise we know what we're doing)!,"Social, Art"
Poker Night,Simmons Hall,,Simmons Party Room,8/28/2023 20:00:00,8/28/2023 22:00:00,come poke people (just kidding we're playing poker),"Social, Games"
GATAS,Simmons Hall,,Simmons Hall - 2nd floor pool table,8/28/2023 21:00:00,8/28/2023 22:00:00,Take pool to the next level with this Simmons classic!,"Social, Games"
Simmons Tour,Simmons Hall,,Meet in Lobby,8/28/2023 21:00:00,8/28/2023 22:00:00,Come on a guided tour of the sponge!,Tour
The Bisexual Experience of Your Life,Simmons Hall,,Simmons MPR,8/28/2023 22:00:00,8/29/2023 0:00:00,Become bisexual. Eat hot chip. Lie (on a couch). ,Social
Suffering Through Cats (2019),Simmons Hall,,MPR,8/28/2023 8:00:00,8/28/2023 10:00:00,Is roasting badly-done autotune one of your favorite hobbies? Are you a fan of extremely cursed movies? Do you want to see a movie featuring many famous people who shouldn't have accepted parts in it? Then pull up to (suffer through) watch Cats (2019)!,Social
Wa-pancakes Forever,Simmons Hall,,Old Late Night Dining,8/28/2023 8:00:00,8/28/2023 10:00:00,"start your day off by watching wakanda forever, eating some themed pancakes, and criticizing marvel's rendition of a simmons dorm room with us! gluten-free pancakes will be available.","Food, Social"
Cheesecake and Sporcle,Simmons Hall,,MPR,8/29/2023 11:30:00,8/29/2023 13:00:00,Eat cheesecake and play Sporcle!!,"Food, Social, Games"
dumb ways to (hair) dye,Simmons Hall,,Simmons Front Lawn,8/29/2023 12:00:00,8/29/2023 14:00:00,Looking to christen your newfound freedom with a rebellious act? We will dye your hair color(s) of your choosing (we promise we know what we're doing)!,"Social, Art"
scootah hockey,Simmons Hall,,Simmons Hall - Dining ,8/29/2023 13:00:00,8/29/2023 14:30:00,"What happens when you take the scootahs from PE class and combine it with hockey? Do you get a sporting bout worthy of the Olympics? No! Far greater! Around 5% of applicants get into MIT, and less than 1% of them will be crowned scootah hockey champions. Will it be you?","Social, Games"
The Eras Tour (Simmons' Version),Simmons Hall,,Simmons TV Lounge,8/29/2023 13:30:00,8/29/2023 15:30:00,"Come enjoy all things Taylor Swift! Featuring listening to her music, yelling lyrics, overanalyzing them, and playing some games! ","Social, Games"
Simmons Tour,Simmons Hall,,Meet in Lobby,8/29/2023 14:30:00,8/29/2023 15:30:00,Come on a guided tour of the sponge!,Tour
may the craft be with you,Simmons Hall,,Simmons Athena Cluster,8/29/2023 17:30:00,8/29/2023 19:30:00,"come crochet, knit, make friendship bracelets, pins, or just hang out!","Social, Art"
Simmons People Taco Night,Simmons Hall,,Simmons Old Late Night,8/29/2023 17:30:00,8/29/2023 19:00:00,Eat basic grocery store tacos and vibe with cool people!,"Food, Social"
Water War: Side with Simms,Simmons Hall,,Simmons Hall - Front Steps,8/29/2023 19:00:00,8/29/2023 19:15:00,The ultimate water balloon fight: West campus vs East campus. Come support the trojan duck in our quest for glory as we march into battle!,Social
blahaj blast 2 electric boogaloo,Simmons Hall,,Simmons Party Room,8/29/2023 21:00:00,8/29/2023 23:00:00,shark plushies!! mtn dew!! wowee!!,Social
GATAS,Simmons Hall,,Simmons Hall - 2nd floor pool table,8/29/2023 21:00:00,8/29/2023 22:00:00,Take pool to the next level with this Simmons classic!,"Social, Games"
Grill Fill Chill,Simmons Hall,,Simmons Front Lawn,8/29/2023 23:30:00,8/29/2023 13:30:00,"grilling food, filling stomachs, chilling out","Food, Social"
Squancakes,Simmons Hall,,Old Late Night Dining,8/29/2023 8:00:00,8/29/2023 10:00:00,the goal is to make the pancakes as square as the simmons windows-- come help us eat all the squancakes at today's pancake breakfast!! gluten-free squancakes will be available.,"Food, Social"
The Great Duck Race,Simmons Hall,,Simmons Front Lawn,8/30/2023 12:30:00,8/30/2023 13:30:00,"Looking for some friendly competition? Join us for the FIRST EVER annual Simmons Duck Race! We will be racing rubber ducks across the Charles River... just kidding, it's an inflatable kiddie pool on Vassar Street. ","Social, Games"
dumb ways to (hair) dye,Simmons Hall,,Simmons Front Lawn,8/30/2023 15:00:00,8/30/2023 17:30:00,Looking to christen your newfound freedom with a rebellious act? We will dye your hair color(s) of your choosing (we promise we know what we're doing)!,"Social, Art"
queer phantom of the opera scream-along,Simmons Hall,,Simmons Hall - MPR,8/30/2023 15:30:00,8/30/2023 18:30:00,"""All I ask of you"" is that you join us for a ""Phantom of the Opera"" scream along (but make it gay !?). Come scream and listen to ""The music of the night"" and unleash your inner ""Prima Donna"". We may not all be ""Angels of Music"" but we will sing ""Past the point of no return"".",Social
Extreme Simmons Hide and Seek,Simmons Hall,,Simmons Hall - Lobby,8/30/2023 16:30:00,8/30/2023 18:00:00,"Ever wanted an extreme tour of Simmons? Now's your chance. In an extreme game of hide and seek involving nerf guns, duct tape, and chaos. ",Social
Fried Oreos,Simmons Hall,,Simmons Old Late Night Dining,8/30/2023 18:00:00,8/30/2023 19:00:00,do you like oreos? do you like fried food? well boy do we have the food for you: fried oreos! ,"Food, Social"
Rainbow Pancakes,Simmons Hall,,Old Late Night Dining,8/30/2023 8:00:00,8/30/2023 10:00:00,join us for the simmons tradition of RAINBOW PANCAKES! wear rainbow and eat rainbow pancakes with us! gluten-free pancakes will be available.,"Food, Social"
Carne Asada ,Spanish House (La Casa),,New House Courtyard ,8/27/2023 15:00:00,8/27/2023 17:00:00,"Join us at La Casa's bi-annual Carne Asada! Come to learn about the community, meet new people, and of course, the food!","Signature, Food, Social"
Language Night w/ Flag Painting ,Spanish House (La Casa),,La Casa Kitchen ,8/28/2023 20:00:00,8/28/2023 21:00:00,"Join La Casa for a night of expressing and sharing our cultures! We will be painting flags, sharing our languages, and of course, eating delicious snacks!!","Food, Social, Art"
Bentry Beach Bash,MacGregor House,B Entry,B Entry Main Lounge,8/27/2023 14:00:00,8/27/2023 16:00:00,"Join us for mocktails, ice pops, and summer vibes","Signature, Food"
b1ner beach bash,Burton Conner,B1,BC Courtyard,8/27/2023 13:00:00,8/27/2023 15:00:00,"we're bringing the ocean to burton conner! mocktails, beach, and fun provided, sun not guaranteed.",Social
iHouse Rager,iHouse,,iHouse Lounge,8/27/2023 21:00:00,8/27/2023 23:00:00,"Come rage with us! We'll have mocktails, bussin' music, and complaining. We'll dish out the real tea about MIT.","Tour, Party, Social"
b2 water mocktails,Burton Conner,B2,Burton 2 Flounge,8/28/2023 18:30:00,8/28/2023 8:30:00,"You are most cordially invited to an experience in taste like no other. Join us as we bequeath upon you a water tasting for the ages. Sample the effervescence of various water sources, ranging from Voss, Fiji, Dasani, Brita, Boston tap water, Cambridge tap water, and more. ",
Top of the Sponge,Simmons Hall,,Simmons 7th floor terrace,8/29/2023 22:00:00,8/30/2023 1:00:00,Come party atop the most porous dorm! We have music and mocktails (bad dancing encouraged)!,"Party, Social"
Water Wars,DormCon (Campus Wide!),,Killian Court,8/29/2023 19:15:00,8/29/2023 20:00:00,"Two sides, both alike in dignity, in fair MIT, where we lay our scene, from ancient grudge break to new mutiny, where civil water makes civil Killian unclean...",Signature
Screen Print Stuff,Random Hall,Black Hole,Black Hole,8/29/2023 17:17:00,8/29/2023 19:17:00,Screen print stuff! ,Art
Swim with the Sharks 🦈,DormCon (Campus Wide!),,1-135,8/30/2023 11:00:00,8/30/2023 13:00:00,"Come meet the team that runs REX - we promise we don't bite! Hang out with members of Dormitory Council (DormCon) and ask us about dorm life, student government, and why our mascot is a shark.","Signature, Food, Social"
"Grill, Chill, and Build",East Campus,,Fort Build Site,8/26/2023 18:00:00,8/26/2023 20:00:00,"power tools! ladders! safety! no experience required, burgers provided","Food, Social, Art"
Hair Dyeing,East Campus,,Fort Build Site,8/26/2023 18:00:00,8/26/2023 18:00:00,"Is there something missing in your life? Do you look in the mirror and know that there's something out there that you don't see, but you can't figure out what it might be? It's probably hair dye. Stop by East Campus build site today!","Social, Art"
Learn to Solder!,East Campus,,6C-006,8/26/2023 18:00:00,8/26/2023 21:00:00,"Join us at the Edgerton Electronics Mezzanine in 6C-006 all day to learn soldering, illuminate a 3-story fort, and create an exceptional glow for our castle, regardless of your soldering experience, as long as you have enthusiasm for EC (East Campus or Electronic Circuits).","Social, Art"
Graffiti 101,East Campus,,Fort Build Site,8/28/2023 10:00:00,8/28/2023 11:00:00,the most important freshman GIR.,Art
MasterChef,East Campus,,Next House Country Kitchen,8/28/2023 10:00:00,8/28/2023 11:00:00,are you the best cook? don't actually cook yet? come make food while competing for the title of MasterChef. you'll compete in a team and everyone will get the same mix of cursed and non-cursed ingredients. there will be prizes and everyone gets to eat!,"Food, Social, Games, Art"
Cooking with Power Tools,East Campus,,Kitchen space required - location TBD,8/30/2023 11:45:00,8/30/2023 1:00:00,"we have power tools, we have food, and we need you to help make it.","Food, Games"
EC Minecraft Dorm Tours,East Campus,,1-134,8/30/2023 18:00:00,8/30/2023 19:00:00,"what do you feel when you see the parallels of East Campus? curiosity? intrigue? …temptation? alas, due to abstruse concepts like “health and safety”, we are unable to offer you the East Campus Tour Experience™ this year. So instead, we will do so… in minecraft! (laptop optional)","Tour, Social, Art"
Goblin,East Campus,,1-150,8/30/2023 14:00:00,8/30/2023 17:00:00,Gather to celebrate the genesis of GOBLIN at Goblin ESCAPE ROOM!!! Join us for this thrilling event in a dark room full of goblins. Watch the Goblin movie on 4x spd. Learn of the fabled Goblin House. And lock in: or you won't be able to lock out.,"Social, Games"
Ink Yourself,East Campus,,Fort Build Site,8/30/2023 14:30:00,8/30/2023 15:30:00,how much surface area can you cover with EAsT camPUS temporary tattoos? theres only one way to find out.,"Social, Games, Art"
Doors 201: Lockpicking,East Campus,,1-132,8/30/2023 14:15:00,8/30/2023 16:00:00,An MIT education opens doors.,"Social, Games"
