Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
Climb the Castle,East Campus,,Fort Build Site,8/30/2023 12:00:00,8/30/2023 13:00:00,Come climb on the EC castle boulder wall!,Games
Up in smoke: where is EC now (answer: BC),East Campus,,Burton Conner Grills,8/30/2023 12:00:00,8/30/2023 14:00:00,You can’t light a building on fire without a building. Join the BC and EC communities for burgers and some fun conversations about living in a building that doesn’t exist. Our communities are stronger than the reinforced concrete and asbestos that hold us together.,"Food, Social"
Hair Dyeing,East Campus,,Fort Build Site,8/30/2023 12:00:00,8/30/2023 18:00:00,We've been coloring hair so long that our hands have literally turned into rainbows. Please advise.,"Social, Art"
Grill and Chill,East Campus,,Fort Build Site,8/30/2023 12:00:00,8/30/2023 22:00:00,Burgers and friends ALL DAY! :D,"Food, Social"
Knotical Nonesense,East Campus,,1-132,8/30/2023 18:00:00,8/30/2023 20:00:00,"Whether you're a thrill-seeker, an adventurer, or just someone who loves to learn new things, 'Knottical Nonsense' is the perfect place to learn to tie knots! You'll discover the knots used by climbers to reach new heights and riggers to lift heavy loads.","Social, Games"
Gaysian Tea Party,East Campus,,Warehouse Community Kitchen,8/30/2023 18:00:00,8/30/2023 20:00:00,"are you a gay slay? or are you asian? — or both?! come have & spill tea :)   (if you are neither gay nor asian, feel welcome as well!! all poggers people are awesome and we would love to uwu with u!)","Food, Social"
Waffle Night,East Campus,,Next House Country Kitchen,8/30/2023 22:00:00,8/31/2023 0:00:00,"come hang out and eat sweet treats with us! 🧇 waffles are not guaranteed, but good vibes are 😎","Food, Social"
Sorta-French Fondue,French House (La Maison Française),,French House Kitchen,8/29/2023 19:30:00,8/29/2023 20:30:00,"Come enjoy the Swiss national dish that has a French name, and chat over a communal pot of dipping chocolate.","Food, Social"
Crêpes et Chocolat,French House (La Maison Française),,French House Kitchen,8/30/2023 9:00:00,8/30/2023 10:30:00,"500 crêpes for the first 500 prefrosh! Enjoy your crêpes with fresh fruit, chocolate spread, and other goodies!",Food
Waffle Nacht,German House,,German House lounge/Kitchen,8/27/2023 21:00:00,8/27/2023 23:00:00,Make and eat German waffles with DH!,"Signature, Food, Social"
Touch Grass,German House,,Tang Court,8/28/2023 15:00:00,8/28/2023 17:00:00,Play volleyball and get to know DH!,"Social, Games"
Mario Kart and Smash,German House,,German House lounge/Kitchen,8/29/2023 19:00:00,8/30/2023 0:00:00,Hang out and play video games with DH!,"Social, Games"
Hotpot with iHouse,iHouse,,iHouse Lounge,8/29/2023 17:30:00,8/29/2023 20:00:00,"Have some delicious hotpot (noodles, meat, vegetables & dumplings in soup) and hang out with iHouse! We will also have vegan options.","Signature, Food, Social"
Junie Jams,Juniper,,Juniper Lounge,8/29/2023 18:00:00,8/29/2023 20:00:00,Jam out with with the Junies as we sing and dance to our favorite songs,"Party, Social"
Paint and Sip,Juniper,,Juniper Lounge,8/30/2023 19:00:00,8/30/2023 21:00:00,Come paint and sip on juice and other snacks ,"Social, Art"
Puzzling with HEX,MacGregor House,H Entry,H Entry Main Lounge,8/26/2023 20:00:00,8/26/2023 22:00:00,Looking for a chill night? Come do jigsaw puzzles with H Entry and wind down after a long day of moving :),"Signature, Social, Games"
Meet the Entries!,MacGregor House,,MacGregor Dining Room,8/27/2023 11:00:00,8/27/2023 12:00:00,Get to know the different entries of MacGregor in this Q&A session with current residents.,
Overcooked! In Real Life!!,MacGregor House,G Entry,MacGregor Dining Room,8/27/2023 14:00:00,8/27/2023 16:00:00,"The hit game Overcooked!, now in real life and with more chaos!!","Food, Games"
MacTour: Tour MacGregor House!,MacGregor House,,MacGregor Courtyard,8/27/2023 16:00:00,8/27/2023 17:00:00,"Get a tour of MacGregor House, led by current residents! A new tour will start every 15-20 minutes :)",Tour
Fentry Feast,MacGregor House,F Entry,F Entry Lounge,8/27/2023 20:00:00,8/27/2023 22:00:00,A variety of home cooked food made by the residents of F Entry,Food
Cen-Gaming,MacGregor House,C Entry,C Entry Lounge,8/27/2023 20:00:00,8/27/2023 22:00:00,"Join us for a night of gaming in the C-entry main lounge! We have an assortment of games for the Nintendo Switch and Wii-U, so come try them all out!","Social, Games"
"Smash, Games, and Domino's",MacGregor House,J Entry,J Entry Main Lounge,8/27/2023 20:30:00,8/27/2023 21:30:00,Eat and game with A Entry!,"Food, Social, Games"
Jaraoke,MacGregor House,J Entry,J Entry Main Lounge,8/27/2023 21:00:00,8/27/2023 23:00:00,Got talent? Neither do we! Have fun singing with J residents and consuming the finest of rotisserie chickens.,"Food, Social"
Breakfast With Bentry,MacGregor House,B Entry,B Entry Main Lounge,8/27/2023 9:00:00,8/27/2023 11:00:00,Don’t feel like going to a dining hall? Join us for breakfast in Bentry,Food
